metric,dataset,strategy,mean
moral_count,all,vanilla,4.83
moral_count,all,simple,5.49
moral_count,all,cot,6.93
moral_count,all,oracle,15.19
moral_count,all,simple_fewshot,5.38
moral_count,all,cot_fewshot,6.94
moral_count,all,simple_fewshot_mft,4.83
moral_count,all,cot_fewshot_mft,7.38
moral_count,allsides,vanilla,6.08
moral_count,allsides,simple,6.99
moral_count,allsides,cot,8.49
moral_count,allsides,oracle,18.73
moral_count,allsides,simple_fewshot,6.88
moral_count,allsides,cot_fewshot,8.37
moral_count,allsides,simple_fewshot_mft,6.02
moral_count,allsides,cot_fewshot_mft,8.92
moral_count,basil,vanilla,3.66
moral_count,basil,simple,4.32
moral_count,basil,cot,5.35
moral_count,basil,oracle,11.84
moral_count,basil,simple_fewshot,4.37
moral_count,basil,cot_fewshot,5.73
moral_count,basil,simple_fewshot_mft,3.95
moral_count,basil,cot_fewshot_mft,6.0
moral_count,mpqa,vanilla,4.04
moral_count,mpqa,simple,4.1
moral_count,mpqa,cot,6.26
moral_count,mpqa,oracle,13.16
moral_count,mpqa,simple_fewshot,3.8
moral_count,mpqa,cot_fewshot,6.09
moral_count,mpqa,simple_fewshot_mft,3.78
moral_count,mpqa,cot_fewshot_mft,6.56
moral_div,all,vanilla,0.29
moral_div,all,simple,0.26
moral_div,all,cot,0.23
moral_div,all,oracle,0.09
moral_div,all,simple_fewshot,0.27
moral_div,all,cot_fewshot,0.22
moral_div,all,simple_fewshot_mft,0.28
moral_div,all,cot_fewshot_mft,0.21
moral_div,allsides,vanilla,0.27
moral_div,allsides,simple,0.25
moral_div,allsides,cot,0.24
moral_div,allsides,oracle,0.1
moral_div,allsides,simple_fewshot,0.25
moral_div,allsides,cot_fewshot,0.23
moral_div,allsides,simple_fewshot_mft,0.28
moral_div,allsides,cot_fewshot_mft,0.21
moral_div,basil,vanilla,0.31
moral_div,basil,simple,0.27
moral_div,basil,cot,0.23
moral_div,basil,oracle,0.09
moral_div,basil,simple_fewshot,0.27
moral_div,basil,cot_fewshot,0.23
moral_div,basil,simple_fewshot_mft,0.28
moral_div,basil,cot_fewshot_mft,0.23
moral_div,mpqa,vanilla,0.32
moral_div,mpqa,simple,0.28
moral_div,mpqa,cot,0.2
moral_div,mpqa,oracle,0.07
moral_div,mpqa,simple_fewshot,0.31
moral_div,mpqa,cot_fewshot,0.2
moral_div,mpqa,simple_fewshot_mft,0.28
moral_div,mpqa,cot_fewshot_mft,0.19
length,all,vanilla,163.39
length,all,simple,180.15
length,all,cot,154.87
length,all,oracle,177.74
length,all,simple_fewshot,178.06
length,all,cot_fewshot,152.15
length,all,simple_fewshot_mft,180.82
length,all,cot_fewshot_mft,161.27
length,allsides,vanilla,168.6
length,allsides,simple,182.87
length,allsides,cot,158.37
length,allsides,oracle,185.48
length,allsides,simple_fewshot,181.13
length,allsides,cot_fewshot,154.86
length,allsides,simple_fewshot_mft,183.96
length,allsides,cot_fewshot_mft,166.93
length,basil,vanilla,160.34
length,basil,simple,179.88
length,basil,cot,153.1
length,basil,oracle,170.23
length,basil,simple_fewshot,176.78
length,basil,cot_fewshot,151.2
length,basil,simple_fewshot_mft,180.22
length,basil,cot_fewshot_mft,158.43
length,mpqa,vanilla,156.4
length,mpqa,simple,173.79
length,mpqa,cot,149.63
length,mpqa,oracle,173.61
length,mpqa,simple_fewshot,173.2
length,mpqa,cot_fewshot,147.76
length,mpqa,simple_fewshot_mft,174.58
length,mpqa,cot_fewshot_mft,153.79
